,Fall 12,Fall 15,Nov 17,Fall 09,Spr 99,Updated,Format,Dec 17,Fall 04,Fall 05,Spr 06,Hol 17,Fall 11,Fall 07,Mar 18,Spr 09,Population,Spr 05,Spr 17,Fall 99,Spr 13,Spr 16,Station URL,Spr 15,Spr 04,Black,Fall 13,Feb 18,Fall 10,Fall 01,Spr 14,Fall 03,State,Spr 01,Sum 17,Win 18,Win 04,Fall 06,Rank,Win 17,Spr 10,Sum 04,Fall 08,Jan 18,Spr 08,Fall 16,Hispanic,Owner,Spr 12,Spr 11,Spr 02,Spr 07,Fall 17,Fall 00,Fall 14,Station,Market Name,Twitter Handles,Followers Count,Friends Count,Listed Count,Created At,Favourites Count,Verified,Statuses Count
503,,,,,,1-29-2018,Country,,,,,,,,,,190000,,4.2,,,4.3,http://965kisscountry.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,4.8,5300,iHeartMedia,,,,,4.7,,,KKSY-FM,Cedar Rapids,['965KissCountry'],1173,2214,11,2011-12-27 22:43:20,30,False,20025
504,,,,,,1-29-2018,Classic Hits,,,,,,,,,,190000,,5.2,,,6.2,http://www.1057kokz.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,6.4,5300,NRG Media,,,,,4.7,,,KOKZ-FM,Cedar Rapids,['965KissCountry'],1173,2214,11,2011-12-27 22:43:20,30,False,20025
505,,,,,,1-29-2018,Classic Rock,,,,,,,,,,190000,,5.8,,,1.9,http://www.krna.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,6.4,5300,Townsquare,,,,,4.7,,,KRNA-FM,Cedar Rapids,['krnaradio'],1373,736,9,2012-03-09 04:00:23,37,False,6549
506,,,,,,1-29-2018,Sports,,,,,,,,,,190000,,1,,,1.4,http://www.thezone1600.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,1.6,5300,KZIA Inc,,,,,2.1,,,KGYM-AM,Cedar Rapids,[None],,,,,,,
507,,,,,,1-29-2018,N/T,,,,,,,,,,190000,,2.6,,,1.4,http://www.kxel.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,1.6,5300,NRG Media,,,,,2.1,,,KXEL-AM,Cedar Rapids,['KXEL1540'],598,111,54,2013-04-29 20:45:12,4061,False,35311
508,,,,,,1-29-2018,Top 40/M,,,,,,,,,,190000,,0.5,,,1,http://hot957cr.iheart.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,1.1,5300,iHeartMedia,,,,,1,,,KOSY-FM,Cedar Rapids,['Hot957CR'],566,1650,25,2014-07-16 21:42:28,216,False,16543
509,,,,,,1-29-2018,Talk,,,,,,,,,,190000,,0.5,,,--,http://www.kxic.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,0.5,5300,iHeartMedia,,,,,0.5,,,KXIC-AM,Cedar Rapids,['KXICradio'],929,85,53,2009-01-28 14:23:41,0,False,19812
510,,,,,,1-29-2018,Classic Rock,,,,,,,,,,190000,,0.5,,,--,http://robfm.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,--,5300,KZIA Inc,,,,,0.5,,,KZIA-FM HD2,Cedar Rapids,[None],,,,,,,
511,,,,,,1-29-2018,Sports,,,,,,,,,,190000,,1,,,1,http://www.kgymradio.com/,,,10300,,,,,,,IA,,,,,,206,,,,,,,1.6,5300,KZIA Inc,,,,,0.5,,,KZIA-FM HD4,Cedar Rapids,['KGYMradio'],1072,216,5,2012-08-06 03:39:17,64,False,1825
512,,,,,,8-04-2015,Top 40/M,,,,,,,,,,182200,,,,,,http://www.wqqb.com/,2.8,,22500,4.4,,,,3.5,,IL,,,,,,999,,,,,,,,10000,SJ Broadcasting,,,,,,,3,WQQB-FM,Champaign,['allthehitsq96'],634,280,36,2011-02-23 18:34:20,35,False,6195
513,,,,,,8-04-2015,Country,,,,,,,,,,182200,,,,,,http://www.country1059.com/,1.7,,22500,2.2,,,,2.3,,IL,,,,,,999,,,,,,,,10000,SJ Broadcasting,,,,,,,2.4,WGKC-FM,Champaign,['us1059'],173,73,3,2013-01-11 17:53:21,17,False,2229
514,,,,,,8-04-2015,Sports,,,,,,,,,,182200,,,,,,http://www.espncu.com/,1.7,,22500,1.1,,,,1.2,,IL,,,,,,999,,,,,,,,10000,SJ Broadcasting,,,,,,,1.2,WSJK-FM,Champaign,[''],,,,,,,
515,,,,,,8-04-2015,AC,,,,,,,,,,182200,,,,,,http://www.sunnycu.com/,0.6,,22500,0.6,,,,0.6,,IL,,,,,,999,,,,,,,,10000,SJ Broadcasting,,,,,,,0.6,WJEK-FM,Champaign,[None],,,,,,,
516,,,,,,5-01-2018,Urban AC,,,,,,,,,,668300,,11.4,,,,http://www.star997.com/,,,171800,,,,,,,SC,,8.4,10.4,,,78,,,,,,,,32200,Saga,,,,,8.3,,,WXST-FM,Charleston,['Star_997'],68,70,6,2015-08-24 21:21:21,1,False,18903
517,,,,,,5-01-2018,Talk,,,,,,,,,,668300,,5,,,,http://943wsc.iheart.com/,,,171800,,,,,,,SC,,4.5,5,,,78,,,,,,,,32200,iHeartMedia,,,,,3.8,,,WSCC-FM,Charleston,['943WSC'],2419,216,83,2009-04-03 21:46:33,513,True,26262
518,,,,,,5-01-2018,Adult Hits,,,,,,,,,,668300,,4.6,,,,http://www.1017chuckfm.com/,,,171800,,,,,,,SC,,3.2,4.3,,,78,,,,,,,,32200,Saga,,,,,5.1,,,WAVF-FM,Charleston,[None],,,,,,,
519,,,,,,5-01-2018,AC,,,,,,,,,,668300,,4.9,,,,http://y1025.iheart.com/,,,171800,,,,,,,SC,,5,4.3,,,78,,,,,,,,32200,iHeartMedia,,,,,6.2,,,WXLY-FM,Charleston,['Y1025'],1702,164,41,2009-03-16 13:16:05,633,True,15716
